sample_id,population_id,superpopulation,dataset,country,neural_ancestry
NA20530,TSI,European,kg,,European
NA20531,TSI,European,kg,,European
NA20532,TSI,European,kg,,European
NA20533,TSI,European,kg,,European
NA20534,TSI,European,kg,,European
NA20535,TSI,European,kg,,European
NA20536,TSI,European,kg,,European
NA20538,TSI,European,kg,,European
NA20539,TSI,European,kg,,European
NA20540,TSI,European,kg,,European
NA20541,TSI,European,kg,,European
NA20542,TSI,European,kg,,European
NA20543,TSI,European,kg,,European
NA20544,TSI,European,kg,,European
NA20581,TSI,European,kg,,European
NA20582,TSI,European,kg,,European
NA20585,TSI,European,kg,,European
NA20586,TSI,European,kg,,European
NA20587,TSI,European,kg,,European
NA20588,TSI,European,kg,,European
NA20589,TSI,European,kg,,European
NA20752,TSI,European,kg,,European
NA20753,TSI,European,kg,,European
NA20754,TSI,European,kg,,European
NA20755,TSI,European,kg,,European
NA20756,TSI,European,kg,,European
NA20757,TSI,European,kg,,European
NA20758,TSI,European,kg,,European
NA20759,TSI,European,kg,,European
NA20760,TSI,European,kg,,European
NA20761,TSI,European,kg,,European
NA20762,TSI,European,kg,,European
NA20763,TSI,European,kg,,European
NA20764,TSI,European,kg,,European
NA20765,TSI,European,kg,,European
NA20766,TSI,European,kg,,European
NA20767,TSI,European,kg,,European
NA20768,TSI,European,kg,,European
NA20769,TSI,European,kg,,European
NA20770,TSI,European,kg,,European
NA20771,TSI,European,kg,,European
NA20772,TSI,European,kg,,European
NA20773,TSI,European,kg,,European
NA20774,TSI,European,kg,,European
NA20775,TSI,European,kg,,European
NA20778,TSI,European,kg,,European
NA20783,TSI,European,kg,,European
NA20785,TSI,European,kg,,European
NA20786,TSI,European,kg,,European
NA20787,TSI,European,kg,,European
NA20790,TSI,European,kg,,European
NA20792,TSI,European,kg,,European
NA20795,TSI,European,kg,,European
NA20796,TSI,European,kg,,European
NA20797,TSI,European,kg,,European
NA20798,TSI,European,kg,,European
NA20799,TSI,European,kg,,European
NA20800,TSI,European,kg,,European
NA20801,TSI,European,kg,,European
NA20802,TSI,European,kg,,European
NA20803,TSI,European,kg,,European
NA20804,TSI,European,kg,,European
NA20805,TSI,European,kg,,European
NA20806,TSI,European,kg,,European
NA20807,TSI,European,kg,,European
NA20808,TSI,European,kg,,European
NA20809,TSI,European,kg,,European
NA20810,TSI,European,kg,,European
NA20811,TSI,European,kg,,European
NA20812,TSI,European,kg,,European
NA20813,TSI,European,kg,,European
NA20814,TSI,European,kg,,European
NA20815,TSI,European,kg,,European
NA20818,TSI,European,kg,,European
NA20819,TSI,European,kg,,European
NA20821,TSI,European,kg,,European
NA20822,TSI,European,kg,,European
NA20826,TSI,European,kg,,European
NA20827,TSI,European,kg,,European
NA20828,TSI,European,kg,,European
NA20832,TSI,European,kg,,European
NA20845,GIH,South Asian,kg,,South Asian
NA20846,GIH,South Asian,kg,,South Asian
NA20847,GIH,South Asian,kg,,South Asian
NA20849,GIH,South Asian,kg,,South Asian
NA20850,GIH,South Asian,kg,,South Asian
