sample_id,population_id,superpopulation,dataset,country,neural_ancestry,supervised,in_qc_panel,African,American,European,max_ancestry,assigned_group
HG01105,PUR,American,kg,,,no,yes,0.081557,0.060352,0.858092,0.858092,European
HG01106,PUR,American,kg,,,no,no,,,,,
HG01107,PUR,American,kg,,,no,yes,0.223068,0.091469,0.685464,0.685464,European
HG01108,PUR,American,kg,,,no,yes,0.646911,0.050013,0.303076,0.646911,African
HG01109,PUR,American,kg,,,no,no,,,,,
HG01110,PUR,American,kg,,,no,yes,0.117017,0.117543,0.76544,0.76544,European
HG01111,PUR,American,kg,,,no,yes,0.109426,0.103376,0.787198,0.787198,European
HG01112,CLM,American,kg,,,no,yes,0.026143,0.037697,0.93616,0.93616,European
HG01113,CLM,American,kg,,,no,yes,0.001759,0.231992,0.76625,0.76625,European
HG01114,CLM,American,kg,,,no,no,,,,,
HG01119,CLM,American,kg,,,no,yes,0.022077,0.092877,0.885046,0.885046,European
HG01121,CLM,American,kg,,,no,yes,0.041143,0.249806,0.70905,0.70905,European
HG01122,CLM,American,kg,,,no,yes,0.05746,0.172243,0.770297,0.770297,European
HG01124,CLM,American,kg,,,no,yes,0.144285,0.228116,0.627599,0.627599,European
